Algorithm,TestType,ArraySize,Duration_ms
Heap Sort,Mixed,10,0.0083
Heap Sort,All Negative,10,0.0059
Heap Sort,All Positive,10,0.0066
Heap Sort,Already Sorted,10,0.0057
Heap Sort,Reverse Sorted,10,0.0056
Heap Sort,Mixed,50,0.0029
Heap Sort,All Negative,50,0.0315
Heap Sort,All Positive,50,0.0294
Heap Sort,Already Sorted,50,0.0178
Heap Sort,Reverse Sorted,50,0.017
Heap Sort,Mixed,100,0.03
Heap Sort,All Negative,100,0.0331
Heap Sort,All Positive,100,0.0656
Heap Sort,Already Sorted,100,0.0157
Heap Sort,Reverse Sorted,100,0.0339
Heap Sort,Mixed,300,0.0651
Heap Sort,All Negative,300,0.2267
Heap Sort,All Positive,300,0.244
Heap Sort,Already Sorted,300,0.0967
Heap Sort,Reverse Sorted,300,0.0971
Heap Sort,Mixed,750,0.2419
Heap Sort,All Negative,750,0.3088
Heap Sort,All Positive,750,0.3686
Heap Sort,Already Sorted,750,0.1123
Heap Sort,Reverse Sorted,750,0.2305
Heap Sort,Mixed,1000,0.3219
Heap Sort,All Negative,1000,0.893
Heap Sort,All Positive,1000,0.4425
Heap Sort,Already Sorted,1000,0.16
Heap Sort,Reverse Sorted,1000,0.1541
Heap Sort,Mixed,3000,0.4178
Heap Sort,All Negative,3000,1.4173
Heap Sort,All Positive,3000,1.4034
Heap Sort,Already Sorted,3000,0.8451
Heap Sort,Reverse Sorted,3000,0.4912
Heap Sort,Mixed,4500,1.4404
Heap Sort,All Negative,4500,2.2089
Heap Sort,All Positive,4500,2.2104
Heap Sort,Already Sorted,4500,1.3655
Heap Sort,Reverse Sorted,4500,0.9074
Heap Sort,Mixed,6000,2.2036
Heap Sort,All Negative,6000,3.0665
Heap Sort,All Positive,6000,3.0283
Heap Sort,Already Sorted,6000,1.1685
Heap Sort,Reverse Sorted,6000,1.4392
Heap Sort,Mixed,7000,3.0113
Heap Sort,All Negative,7000,3.7744
Heap Sort,All Positive,7000,3.6447
Heap Sort,Already Sorted,7000,1.571
Heap Sort,Reverse Sorted,7000,1.1121
Heap Sort,Mixed,8000,3.6385
Heap Sort,All Negative,8000,4.267
Heap Sort,All Positive,8000,4.3743
Heap Sort,Already Sorted,8000,1.7185
Heap Sort,Reverse Sorted,8000,2.3684
Heap Sort,Mixed,9000,4.9237
Heap Sort,All Negative,9000,4.838
Heap Sort,All Positive,9000,4.9686
Heap Sort,Already Sorted,9000,1.8525
Heap Sort,Reverse Sorted,9000,1.9994
Heap Sort,Mixed,10000,4.7957
Heap Sort,All Negative,10000,5.3885
Heap Sort,All Positive,10000,5.4918
Heap Sort,Already Sorted,10000,2.0176
Heap Sort,Reverse Sorted,10000,1.9174
Heap Sort,Mixed,15000,5.4622
Heap Sort,All Negative,15000,8.6116
Heap Sort,All Positive,15000,8.6764
Heap Sort,Already Sorted,15000,2.9531
Heap Sort,Reverse Sorted,15000,3.0008
Heap Sort,Mixed,20000,8.617
Heap Sort,All Negative,20000,11.686
Heap Sort,All Positive,20000,11.7574
Heap Sort,Already Sorted,20000,3.4011
Heap Sort,Reverse Sorted,20000,3.8517
Heap Sort,Mixed,30000,11.9722
Heap Sort,All Negative,30000,18.5982
Heap Sort,All Positive,30000,18.2718
Heap Sort,Already Sorted,30000,5.747
Heap Sort,Reverse Sorted,30000,4.9307
Heap Sort,Mixed,40000,18.8665
Heap Sort,All Negative,40000,25.7008
Heap Sort,All Positive,40000,25.1766
Heap Sort,Already Sorted,40000,6.5229
Heap Sort,Reverse Sorted,40000,6.7114
Heap Sort,Mixed,200000,24.9265
Heap Sort,All Negative,200000,141.698
Heap Sort,All Positive,200000,142.795
Heap Sort,Already Sorted,200000,35.9444
Heap Sort,Reverse Sorted,200000,35.1727
Heap Sort,Mixed,500000,142.922
Heap Sort,All Negative,500000,383.776
Heap Sort,All Positive,500000,382.186
Heap Sort,Already Sorted,500000,87.4723
Heap Sort,Reverse Sorted,500000,87.4473
Heap Sort,Mixed,1000000,383.422
Heap Sort,All Negative,1000000,807.53
Heap Sort,All Positive,1000000,810.148
Heap Sort,Already Sorted,1000000,188.339
Heap Sort,Reverse Sorted,1000000,188.049
Timsort,Mixed,10,0.0269
Timsort,All Negative,10,0.0022
Timsort,All Positive,10,0.0023
Timsort,Already Sorted,10,0.0016
Timsort,Reverse Sorted,10,0.0044
Timsort,Mixed,50,0.0144
Timsort,All Negative,50,0.0195
Timsort,All Positive,50,0.0192
Timsort,Already Sorted,50,0.0019
Timsort,Reverse Sorted,50,0.0019
Timsort,Mixed,100,0.051
Timsort,All Negative,100,0.0254
Timsort,All Positive,100,0.0505
Timsort,Already Sorted,100,0.0024
Timsort,Reverse Sorted,100,0.0012
Timsort,Mixed,300,0.2892
Timsort,All Negative,300,0.0938
Timsort,All Positive,300,0.2056
Timsort,Already Sorted,300,0.005
Timsort,Reverse Sorted,300,0.0047
Timsort,Mixed,750,0.5245
Timsort,All Negative,750,0.2477
Timsort,All Positive,750,0.2619
Timsort,Already Sorted,750,0.0092
Timsort,Reverse Sorted,750,0.0099
Timsort,Mixed,1000,0.333
Timsort,All Negative,1000,0.3496
Timsort,All Positive,1000,0.5482
Timsort,Already Sorted,1000,0.0124
Timsort,Reverse Sorted,1000,0.0125
Timsort,Mixed,3000,1.7182
Timsort,All Negative,3000,1.2083
Timsort,All Positive,3000,1.2129
Timsort,Already Sorted,3000,0.018
Timsort,Reverse Sorted,3000,0.0359
Timsort,Mixed,4500,2.1334
Timsort,All Negative,4500,2.2394
Timsort,All Positive,4500,1.9999
Timsort,Already Sorted,4500,0.0501
Timsort,Reverse Sorted,4500,0.0267
Timsort,Mixed,6000,2.6741
Timsort,All Negative,6000,2.6579
Timsort,All Positive,6000,2.644
Timsort,Already Sorted,6000,0.0751
Timsort,Reverse Sorted,6000,0.0701
Timsort,Mixed,7000,3.1658
Timsort,All Negative,7000,3.211
